,Sex,Age,Race,OtherRace,HispanicLatino,HighestEducation,HeightInches,WeightPounds,RelationshipStatus,DivorceCount,LongestRelationship,RelationshipNumber,ChildrenNumber,HouseholdIncome,RetirementAccount,RetirementPercentStocks,RentOwn,MortgageDebt,CarDebt,EducationDebt,CreditCardDebt,OtherDebtSources,OtherDebtAmount,CoffeeCupsPerDay,TeaCupsPerDay,CaffienatedSodaCansPerDay,CaffieneOtherSourcesDayMG,GamblingProblem,TrafficTicketsLastYearCount,TrafficAccidentsLifeCount,ArrestedChargedLifeCount,MotivationForParticipation,MotivationOther
A133QG754CGS3I,0,37,White,,1,3,74,225,1,0,24,3,0,75000,0.0,,1,4.0,3.0,1.0,1.0,,1.0,3,0,0,15,0,0,1,0,money,
A13OOAT2ORKH6V,0,30,Other,Hispanic,1,4,66,135,1,0,6,2,0,90000,0.0,0,0,1.0,1.0,1.0,3.0,,,1,1,2,100,0,0,0,0,money,
A15V8K8M4TXT9Y,0,30,Chinese,,0,4,70,150,1,0,6,2,0,44000,1.0,70,0,1.0,1.0,1.0,3.0,None,,0,1,0,0,0,0,1,0,money,
A16KDMZ7CEDHNV,1,50,White,,0,4,65,240,1,1,240,1,3,65000,0.0,0,0,1.0,1.0,1.0,5.0,,1.0,0,0,0,200,0,0,4,0,money,
A17GH7I35D6K03,0,26,White,,0,2,72,150,1,0,24,5,0,25000,0.0,,0,1.0,1.0,1.0,1.0,,,2,0,2,0,0,0,1,1,money,
A19F72FI7KBTAT,1,34,White,,0,4,66,175,3,1,36,5,2,63000,1.0,0,1,6.0,1.0,5.0,2.0,,,0,1,0,0,0,0,5,2,money,
A1BEYZ1LAFOJ2C,1,35,White,,0,2,69,140,1,0,36,4,1,52000,0.0,,1,7.0,5.0,1.0,3.0,,,2,0,2,500,0,2,2,0,tasks are fun,
A1DABMXVWWL0TR,1,40,White,,0,3,66,140,2,0,180,3,1,40000,0.0,,0,1.0,1.0,1.0,1.0,,1.0,2,0,1,0,0,0,2,2,money,
A1ER8K8UM70Y7T,1,35,White,,0,4,64,190,2,0,108,3,2,60000,0.0,,1,7.0,4.0,1.0,4.0,,,1,6,0,0,0,0,4,0,money,
A1GKTC682SWY23,1,28,White,,0,3,69,200,3,0,48,4,2,65000,0.0,,1,5.0,1.0,2.0,1.0,,1.0,0,0,1,30,2,0,1,0,money,
A1GMJZUQ8Q7053,0,23,White,,0,4,70,150,1,0,44,2,0,68000,0.0,,0,3.0,1.0,2.0,2.0,,,0,1,0,0,0,1,0,0,money,
A1JVO7FLPATHUB,0,24,White,,0,3,71,160,1,0,4,2,0,50000,0.0,,1,1.0,1.0,3.0,1.0,n/a,,0,0,0,0,0,0,0,0,money,
A1M13LVFQNRQ5,0,20, Black or African American,,0,3,178,150,1,0,3,1,0,50000,0.0,,0,1.0,1.0,1.0,1.0,None,1.0,3,0,5,60,0,0,0,0,money,
A1ME089VLGOBBI,0,26,White,,1,4,75,190,1,0,12,2,0,25000,1.0,90,1,1.0,1.0,1.0,1.0,,1.0,0,0,0,0,1,0,0,0,money,I would just say I am not working. I like cognative type of tasks so figured it would be a fun goal to have for the week. 
A1PT63J40GNSZF,0,25,White,,0,4,68,155,3,0,38,4,0,55000,1.0,25,0,1.0,1.0,4.0,1.0,,,0,0,0,400,0,0,1,0,money,
A20J7F7PKEZZV2,1,31, Black or African American,,0,3,66,170,1,0,36,3,1,26000,0.0,,0,2.0,1.0,1.0,2.0,,,0,2,2,0,1,0,0,0,money,
A22AEEEAJDHREX,1,43, Native Hawaiian or Other Pacific Islander,,0,3,65,160,2,0,40,4,2,74000,0.0,,0,1.0,2.0,1.0,2.0,,,0,1,0,70,0,0,1,0,money,
A29PPNC373B8E3,0,41,White,,0,4,67,170,2,0,120,6,0,75000,1.0,50,0,1.0,1.0,1.0,1.0,,1.0,0,3,0,5,0,0,0,0,money,
A2ET3KM3IE33MM,0,29,White,,0,4,69,165,2,0,36,5,1,25000,0.0,,1,1.0,1.0,1.0,7.0,Debt Free! ,1.0,2,0,1,0,0,0,0,0,money,
A2IA303OT5BBX0,1,50,White,,0,4,69,230,2,0,250,5,2,70000,1.0,80,1,6.0,1.0,1.0,1.0,,,0,0,1,0,0,0,2,0,money,
A2KG59JUICJLP0,1,28, Black or African American,,0,3,66,140,2,0,96,4,0,70000,0.0,,0,1.0,1.0,4.0,1.0,,,0,1,0,100,0,0,0,1,money,curiosity 
A2NOHPKYCW5FF9,0,30,White,,0,4,70,225,2,0,120,3,2,40000,0.0,,0,,3.0,4.0,2.0,,3.0,1,0,1,0,0,0,2,4,money,
A2Q0G312LESWK7,1,23,White,,0,1,65,125,3,0,24,5,0,48000,0.0,,0,1.0,1.0,1.0,1.0,,,1,0,0,0,0,0,2,1,money,
A2RBF3IIJP15IH,0,31,Chinese,,0,4,67,165,1,0,46,5,0,19000,0.0,,0,1.0,1.0,1.0,2.0,,2.0,0,1,0,0,0,0,2,0,money,
A2W8ZV9DQWVHJK,1,27,White,,0,3,65,185,3,0,65,5,2,32000,0.0,,0,1.0,3.0,4.0,3.0,None ,,3,2,0,300,2,0,1,0,money,
A3083883A6RJES,0,30,White,,0,4,71,140,2,0,130,2,0,65000,1.0,100,0,1.0,1.0,1.0,1.0,,1.0,0,0,0,0,0,0,3,0,money,
A31O5XYX80XD21,0,27, Vietnamese,,0,4,67,150,1,0,36,4,0,89000,0.0,,0,1.0,1.0,1.0,2.0,,,0,0,0,0,0,0,0,0,money,
A3554I2Q2M4QL9,1,29,White,,0,4,64,125,2,0,100,2,2,45000,1.0,100,1,7.0,1.0,1.0,2.0,n/a,1.0,0,0,0,0,0,0,4,0,money,na
A37I58C4258IPX,0,47,White,,0,4,71,175,2,0,110,5,0,86000,1.0,70,1,7.0,3.0,1.0,2.0,n/a,,3,0,0,285,0,0,3,0,money,
A3BI0AX5T5GVO3,1,23,White,,0,3,67,140,1,0,60,3,0,60000,0.0,0,0,1.0,3.0,3.0,1.0,,,0,0,0,0,0,0,0,0,money,
A3CPBEVHGIPGW3,1,22,White,,0,4,63,150,1,0,11,2,0,50000,0.0,,0,1.0,1.0,1.0,1.0,,,0,0,0,0,0,2,0,0,money,
A3D3GGRRZDV4PX,0,26,White,,0,3,66,191,1,0,48,2,0,22000,0.0,,1,1.0,1.0,1.0,1.0,No debt,1.0,4,0,3,500,0,0,1,0,money,
A3FJE9AUW0O41D,1,30,White,,0,4,66,245,1,0,0,0,0,50000,0.0,,1,1.0,1.0,1.0,1.0,,1.0,0,0,1,0,0,0,1,1,money,
A3G5FY6NGZWIY7,1,30, Black or African American,,0,3,56,237,3,0,126,2,2,43000,0.0,,0,1.0,5.0,3.0,3.0,,1.0,1,1,0,0,0,0,0,0,money,
A3GM78FCDY293T,0,43, American Indian or Alaska Native,,0,5,69,280,1,0,9,4,0,18000,1.0,40,0,1.0,1.0,6.0,3.0,none,1.0,0,0,3,0,0,0,4,0,money,none
A3GZYWA9S6J0K9,1,43,White,,0,3,60,100,2,0,36,4,0,35000,1.0,40,0,1.0,1.0,5.0,3.0,,,1,4,0,0,0,0,1,0,money,
A3KHTVJITDJJ3G,0,23,White,,0,4,70,170,1,0,36,1,0,68000,1.0,95,0,1.0,1.0,1.0,2.0,,,5,0,0,0,0,0,1,0,money,
A3NPYIGN1MP121,0,27,White,,0,3,66,120,3,0,38,1,0,25000,0.0,,0,1.0,1.0,1.0,1.0,,1.0,1,0,0,140,0,0,0,0,money,
A3OW5EFQ5QFD19,1,28, Black or African American,,0,4,63,110,3,0,109,1,1,40000,0.0,,0,1.0,1.0,5.0,,,,0,0,0,0,0,0,3,0,money,
A3QSFE6GKO157S,0,27, Black or African American,,0,4,70,200,1,0,12,3,0,19000,0.0,0,0,1.0,1.0,4.0,1.0,None,1.0,0,0,0,0,0,0,2,0,money,
A3RS7UCO7CQ74R,0,28,White,,0,3,69,160,1,0,3,1,0,20000,0.0,,0,1.0,1.0,1.0,1.0,"pay day loans, title loan",2.0,0,0,5,0,0,0,5,0,want to contribute to research,
A3URMVMNIEN5LX,1,48,White,,0,3,62,110,1,1,180,4,5,15000,0.0,,0,2.0,1.0,1.0,1.0,"Rent, medical, utilities, childrens needs, food",4.0,16,3,0,0,0,0,4,0,money,
A7CYU79YGRVQ8,0,21,White,,1,2,66,200,1,0,30,2,0,15000,0.0,,0,1.0,1.0,1.0,1.0,,1.0,0,0,0,600,0,0,0,0,money,
ACCXC5V05C9R9,1,43,White,,0,3,62,115,3,0,48,5,0,75000,1.0,60,1,1.0,6.0,1.0,1.0,,,4,2,0,0,0,0,3,0,money,
ADT6AD3LK64AH,0,29,White,,0,2,58,200,1,0,24,1,0,30000,0.0,,0,5.0,5.0,3.0,3.0,credit cards,3.0,2,2,2,100,0,0,0,0,money,na
ADVIE0ZHLWDDH,1,29,White,,0,2,67,250,1,0,6,1,0,32000,0.0,,0,,,1.0,3.0,,,4,0,0,0,0,0,0,0,money,
AL0IT4RSPIWGK,0,32,White,,0,3,72,205,1,0,72,5,0,30000,0.0,,0,1.0,1.0,3.0,1.0,,,0,0,0,0,0,0,4,1,money,
AOPG07J95DDJT,1,30,White,,0,4,64,341,1,0,0,0,0,25000,0.0,,1,1.0,,5.0,3.0,,,2,0,2,300,0,0,0,0,money,
AOXM7IK32TST5,0,29,White,,0,3,69,140,1,0,6,1,0,24000,0.0,,0,1.0,1.0,4.0,1.0,,1.0,0,0,1,0,0,0,0,0,money,
APGX2WZ59OWDN,1,22,White,,0,3,64,125,1,0,6,2,0,125000,0.0,,0,1.0,1.0,4.0,2.0,,,1,0,1,0,0,0,2,1,money,
AXJ1PE87PD0KK,1,26,White,,0,5,65,124,3,0,52,3,0,55000,0.0,,0,1.0,3.0,5.0,1.0,None,,1,1,0,0,0,0,0,0,money,
